n k V E V+E n(n+k) T 
100 1482 102 3164 3266 158200 1
200 8178 202 16756 16958 1675600 5
300 18522 302 37644 37946 5646600 11
400 29260 402 59320 59722 11864000 23
500 45878 502 92756 93258 23189000 37
600 68685 602 138570 139172 41571000 66
700 92834 702 187068 187770 65473800 103
800 117836 802 237272 238074 94908800 159
900 149388 902 300576 301478 135259200 219
1000 188067 1002 378134 379136 189067000 292
1100 234000 1102 470200 471302 258610000 388
1200 270231 1202 542862 544064 325717200 482
1300 319665 1302 641930 643232 417254500 633
1400 379056 1402 760912 762314 532638400 796
1500 426300 1502 855600 857102 641700000 956
1600 492030 1602 987260 988862 789808000 1164
